Company_Name,Predicted_Future_Return,Prediction_Std,Lower_Bound,Upper_Bound,Feature_Price to book value,Feature_Altman Z Score,Feature_Price to Sales,Feature_Price to Earning,Feature_Public holding
Giriraj Civil,41.595080386779095,0.48203639712344576,-44.95339999801449,264.22171013314664,0.018713456980152615,0.03264428793014781,-0.03934468645639145,0.04503556830127194,0.8279731126154841
Affle India,41.594589339013545,0.18212024817401942,-0.9116096886158227,102.33478076573891,0.018278634578193266,0.068294501114227,-0.03338039966702777,-0.03712787212580079,-1.1021622004965008
HCL Technologies,41.57106622281918,0.16435567845780524,2.582227452194893,95.37854937694688,-0.0017231959119371968,0.0426513653151525,-0.0435430112354966,-0.14119957076787687,-1.6049843829180037
Alembic Pharma,41.47242459956614,0.18364365592175746,-1.29227080725823,102.76473874704068,-0.06564208899996274,-0.028440580274151573,-0.045342293283684526,-0.13085815556679753,-1.2842090538922901
Eco Hotels,41.45439420454519,0.8967859797645086,-75.6074723302808,720.3063622887429,-0.04194426809317776,-0.014472368090915878,2.0114036879847594,-0.13088804405003762,1.4086587082363913
Privi Speci.,41.4036515107426,0.23643784972097884,-11.038793591609814,124.76080830987644,-0.01889868078933182,-0.06367383190052221,-0.045175693094037496,-0.08835673239935576,-0.5911150096384412
IRB Infra.Devl.,41.3980193058656,0.28206340215340986,-18.652144053433954,145.77660506202844,-0.11195067480863431,-0.15394600914441858,-0.04419275197512002,-0.08067539220664653,-1.0040104331535902
eClerx Services,41.372419365399494,0.24203685587303417,-12.029155865009054,127.19073749659246,-0.02889959603439704,0.03181036481473077,-0.04339307106481428,-0.15195942473431784,-1.2820157183092085
Neelamalai Agro,41.364278000530156,0.2079437675096902,-5.955290102665167,112.49317602687934,-0.13890966373011449,-0.12684350789336427,-0.03374692008425124,-0.1964932647620873,-0.38055479366258826
Zee Media,41.3483278241925,0.43680132868696964,-39.95485777166227,232.73882011501564,-0.04650990331375101,-0.14122868163430846,-0.04782463610942528,-0.13088804405003762,3.0596920684012168
Flexituff Vent.,41.343845460412005,0.39009872121995215,-34.20117056282484,203.62367872534782,-0.08260016267637768,-0.18667749142453804,-0.05024033885930721,-0.13088804405003762,1.6998240068905
Guj Apollo Inds,41.30163618349429,0.23418440112088734,-10.70946931238011,123.60884445836184,-0.14347529895068772,-0.13038768113388674,-0.038961506020203276,-0.13552075895225527,0.7775263942046027
Moneyboxx Fin.,41.26473173665007,0.3522057942484829,-29.16789889772733,181.7327754235914,-0.06172868738232853,-0.13476577748982627,-0.04236014988900269,-0.0360518867291567,1.1136550723118888
Shetron,41.258021073091165,0.2078782482123603,-6.013910406063203,112.30618917858588,-0.10825468439197977,-0.10808023779648047,-0.049890478461048444,-0.1635860447147221,0.11130071084350558
RNFI,41.23209981841543,0.4949597729635561,-46.467792611060666,272.6075757384169,-0.08260016267637768,-0.0324017150723826,-0.050390279029989535,-0.14959823455834884,-0.19137959962178297
United Nilgiri,41.22530649185227,0.1875029841914876,-2.2072264301848405,103.94745404658137,-0.1367355517203177,-0.11621098817179679,-0.04665843478189607,-0.18603229562804752,0.6843096319236263
Coromandel Inter,41.18603235351597,0.24264362488449706,-12.24955843760253,127.161201434568,-0.059771986573511425,-0.04115790778426169,-0.04724153544566067,-0.12679332184614206,-1.0983238632261076
ICRA,41.18522737260952,0.23709404739111353,-11.290377712201359,124.70243829453347,-0.008462943142307229,0.04327680765171527,-0.027715993219028755,-0.098668259117195,-1.0341687974209652
RKEC Projects,41.16013167342022,0.2880855198155108,-19.74193039632317,148.2763773469137,-0.12477793566643537,-0.12246541153742468,-0.049707218252436715,-0.19359408188779628,-0.012622749600616077
Ashiana Housing,41.06798111170809,0.25602733373640424,-14.592976858087289,133.00396809132437,-0.0743385370391499,-0.130596161912741,-0.04554221351126096,-0.09555985686022317,-0.560408311475296
JSW Steel,41.031244892363006,0.25563812026435956,-14.550056778841794,132.7656553780455,-0.09738412434299584,-0.12976223879732396,-0.04864097703869572,-0.09609784955854522,-0.8543152796082574
Hindustan Hardy,40.99312682871807,0.21558011431484814,-7.595644106843659,115.131219960284,-0.0743385370391499,-0.059504216323436936,-0.0485076968869781,-0.17138693884039177,0.0021822655851862537
Stylam Industrie,40.91744550561927,0.21635731712517295,-7.785822799215447,115.3435301449529,-0.025421016818722178,0.0680860203353727,-0.044425992240625864,-0.1462806129186962,0.003278933376726936
Aster DM Health.,40.81767869637511,0.24183997253950304,-12.340530026074974,126.21193853138752,-0.018681269588352145,-0.04553600414020124,-0.04159378901662635,0.012726117918708969,-1.1378039037215801
Finolex Inds.,40.793840373512914,0.14557435384456713,5.844492164835487,87.28329723809627,-0.10325422676944718,-0.0765996401894866,-0.04394285169064948,-0.12099495609755997,-0.2802096907365958
A.K.Capital Serv,40.73867071177133,0.32919652759309836,-26.176317780069287,168.30649512588067,-0.13890966373011449,-0.16812270210650856,-0.04862431701973102,-0.20761178052740964,-0.40303648338917675
I T D C,40.73735648971197,0.2995495396812748,-21.76021047118285,153.15767886130357,0.11154803979847543,-0.009051867840705016,-0.034629901089380494,-0.009002809396853762,-1.2408906761264247
EIH Assoc.Hotels,40.73316612760418,0.22888153283559115,-10.139555134173353,120.40647670810567,-0.0621635097842879,-0.0190589452257097,-0.04177704922523809,-0.14959823455834884,-1.2365040049602611
Rallis India,40.64267635295979,0.17653569011217507,-0.49454060514256765,98.78670509153658,-0.08999214350968676,-0.07930989031459203,-0.047108255293943045,-0.1053931678462206,-0.7517768410991831
Bhansali Engg.,40.626809410103384,0.21257148787322222,-7.290632100021734,113.31069311357238,-0.08933990990674774,-0.02948298416842289,-0.0468750150284372,-0.1781716245358976,0.38108098756256725
S C I,40.62457461487879,0.2211449988962273,-8.836960148089084,116.92202254048784,-0.13086544929386637,-0.130596161912741,-0.047957916261142895,-0.19293653525651377,-0.37287811912180197
Thomas Cook (I),40.614632271411956,0.22549687774986757,-9.617635646535842,118.76474409873711,-0.0691206682156376,-0.11266681493127428,-0.04897417741798978,-0.13088804405003762,-0.6667850872547633
Disa India,40.59019567017518,0.146266128680303,5.5481907156034325,87.26614814114619,0.07371849082801132,0.068294501114227,-0.037695344578885855,-0.05123523621513448,-0.9151803420387773
Agri-Tech India,40.573963237324264,0.4644354579304776,-43.4321794815771,249.33357798030872,-0.13434402850954122,-0.09890708352689284,2.1771042366076956,-0.1912030032285872,1.9218992346775323
General Insuranc,40.53424490649255,0.22423052016874245,-9.444821188376824,118.09767536898774,-0.1373877853232567,-0.17458560625099073,-0.048724277133519234,-0.20474248613635873,-1.7130061603847826
DCW,40.477117936092974,0.38217231231172255,-33.580752815555705,197.10997188557008,-0.10455869397532523,-0.11308377648898282,-0.048607657000766316,0.35459058921913006,0.5521611630429476
Alicon Cast.,40.47550129804857,0.22465383556532695,-9.557744356062772,118.18746474685989,-0.08520909708813383,-0.08618975601678275,-0.04892419736109567,-0.14855213764494488,-0.013719417392157148
Arkade,40.41408519302485,0.5223767768879223,-49.56237997288338,290.90098442381145,-0.08260016267637768,0.0234711336605602,-0.04440933222166116,-0.17034084192698778,-0.5028332524193987
National Standar,40.33723524731596,0.7348362789551236,-66.75949233818535,492.48612557998916,0.5578932354097559,0.9505851572254728,0.5544183894456235,1.3571399825422656,-0.4249698392199947
Ahluwalia Contr.,40.26001939700521,0.23033578611274916,-10.696575034772177,120.29248093125572,-0.06651173380388145,-0.06325687034281369,-0.048024556337001714,-0.13411600023996992,-1.4766742513077185
Insecticid.India,40.257504080091465,0.2169957623635137,-8.332458392099875,114.6034147498233,-0.11195067480863431,-0.09348658327668198,-0.04900749745591919,-0.17566099194372803,-1.1208055529526961
Saurashtra Cem.,40.22049927440451,0.29857858408535587,-21.899055236550012,151.74840683828302,-0.12999580448994766,-0.11975516141231927,-0.049623918157613196,-0.16878664079850186,-0.0559411273664816
Vishnu Prakash R,40.110943857174746,0.26284945973148366,-16.29910889699394,134.538441943103,-0.056510818558816234,-0.06283990878510516,-0.046941655104296015,-0.14496551965613122,-0.31859306344052746
Balrampur Chini,40.11072594153614,0.2470242667757109,-13.662378065466399,127.37498536558802,-0.08216534027441832,-0.0724300246124013,-0.047258195464625376,-0.16152373937115425,-0.8778936371263867
Sunrise Efficie.,40.04640282007205,0.2473909157012052,-13.764008818752396,127.43398289027627,-0.0845568634851948,-0.028023618716443054,-0.04864097703869572,-0.17802218211969703,0.39040266379066496
Minda Corp,40.00042229600776,0.2059331921893536,-6.494862406076258,109.6154152318384,-0.03433487605888901,-0.02385400313935775,-0.04689167504740191,-0.09137546920660726,-1.4657075733923093
Prime Focus,39.922206194276036,0.4842018450240057,-45.83413126865458,261.44945599190066,0.0032772617105954237,-0.159783470952338,-0.049074137531778,-0.13088804405003762,-0.8214152458620303
Morganite Crucib,39.89126398886425,0.16149409573799944,1.9351684113580452,91.98051119540393,0.008495130534107699,0.06037223151776494,-0.04101068835286175,-0.11585413698026041,-0.5264116099375281
Airan,39.85299745020715,0.23190525261964332,-11.229218596288188,120.32993949729752,-0.09107919951458517,-0.04699536959218109,-0.044675892525096406,-0.1934446394715957,-0.33723641589672276
Dhani Services,39.85157008104618,0.26499529755007895,-16.804699381582942,135.09094274255298,-0.13912707493109416,-0.13997779696118287,-0.037128903934085945,-0.13088804405003762,0.6311212440338927
SBEC Sugar,39.837558803859125,0.2403859760899843,-12.702227980474628,123.99818918458894,-0.08260016267637768,-0.16979054833734264,-0.0501903588024131,-0.13088804405003762,-0.051006122304547756
Asit C Mehta Fin,39.79815653990551,0.437447996064399,-40.68859758861977,229.50703873773287,-0.07020772422053599,-0.15874106705806665,-0.04669175481982547,-0.13088804405003762,-0.48144823048435115
Polycab India,39.790136567890244,0.18405699713518445,-2.5450169525540014,100.51598872225678,0.08524128447993433,0.1122839454524767,-0.04285995045794378,-0.06877977587708124,-1.0796805107699123
Arvind & Company,39.78531934780065,0.46156360752749015,-43.43201768250603,245.4239430972912,-0.07303406983327183,-0.07180458227583851,-0.037728664616815254,-0.16705310877057528,0.7808163975792255
Indian Energy Ex,39.747373166116816,0.30145046568013417,-22.599487465939156,152.31523238603666,0.1848156145286272,0.17336881365677614,0.00288846161913066,-0.10500461756409914,1.0303083201547805
Syngene Intl.,39.73364569352223,0.2871867609327257,-20.412899292108015,145.3348792094725,0.013712999357619994,0.04014959596890131,-0.03389686025493357,-0.002158346734867693,-1.4838025919527342
KSB,39.70889646646732,0.17567299981357526,-0.9879195683289632,97.13327572535955,0.07176179001919422,0.07830157849923164,-0.04067748797356769,-0.032285937840902355,-1.05226381598139
Jagatjit Inds.,39.702275135568705,0.6644592538790308,-62.0156810862591,413.81007310871973,0.15002982237187856,-0.11224985337356574,-0.04754141578702532,3.7425996069022243,-1.1591889256566277
Aarti Pharma,39.65593229052416,0.19606196676826268,-4.902724882676976,105.09293667850463,-0.09260107792144291,-0.07159610149698425,-0.04620861426984908,-0.15766812503317956,0.07511067372265605
Praveg,39.647170006787405,0.5399045988677645,-51.531892055038874,302.35389656740256,-0.034117464857909334,0.005750267457947755,-0.022967887814088397,0.18207426395719348,0.2927992303435248
SBC Exports,39.601263577813015,0.279195602627602,-19.233129688016458,141.2934005891581,0.17546693288650098,-0.02718969560102598,-0.04427605206994354,-0.09421487511441805,0.09649569565770365
Jubilant Ingrev.,39.57632205718619,0.19125800001439472,-4.057804189434472,103.05507409354058,-0.07977381706364187,-0.07993533265115482,-0.04665843478189607,-0.05258021796093959,-0.47760989321395797
Bemco Hydraulics,39.558966014257294,0.3441314686558243,-28.906953807377317,173.9607604124539,-0.05411929534803978,-0.08139469810313466,-0.04502575292335517,-0.10560238722890139,-0.46609488140277844
Engineers India,39.469315950385706,0.1282669954267273,8.466493398804134,79.3336308951145,-0.06629432260290179,-0.09244417938241066,-0.04562551360608448,-0.15718990930133775,-0.19028293183024209
AI Champ.Inds.,39.42858057725115,0.33889282690055855,-28.240334078069377,170.9088571139211,-0.07520818184306861,-0.16457852886598606,-0.04522567315093161,-0.13088804405003762,-0.07622948150998851
Paras Defence,39.31930686589976,0.3592380135725068,-31.09960136129482,181.70909964359976,0.01632193376937616,0.04723794244994629,-0.029348675077569646,0.060756910485571754,0.1732624410655666
Borosil,39.25773147013656,0.27764596613750797,-19.186801022859786,139.96965866546526,0.019148279382111964,0.0022060942174252666,-0.0424267899648615,-0.018059019818608232,-0.25388966373961414
Zota Health Care,39.25014506899835,0.30896779957663173,-24.002911265715923,155.1492856461162,0.2043826226167983,0.07058778968162388,-0.0374287842754506,-0.13088804405003762,0.15352242081783044
Finkurve Fin.,39.20034169625192,0.3172692124005863,-25.256179025421773,159.24196643550883,-0.03324782005399062,-0.030733868841548485,-0.03221419833949856,-0.05261010644417972,0.07456233982688532
Baazar Style,39.15635538147229,0.5685904040377255,-54.34281591171004,324.1280234367578,-0.08260016267637768,-0.0945289871709533,-0.046791714933613685,0.08362160016425879,0.2275474967468413
CHL,39.04790416867625,0.2556840006088518,-15.759326157679723,129.5128798457964,-0.08260016267637768,-0.17333472157786517,-0.048357756716295774,-0.1536331797957642,-0.3641047767894747
Gillette India,38.969509134451506,0.1773144665583357,-1.8282794413711463,96.72187020025613,0.4391867196748513,0.36579657253926184,-0.03394684031182768,-0.035992109762676486,-1.2524056879376042
Wipro,38.845663417257256,0.17736869494525667,-1.9261919045082965,96.5674487831423,-0.0845568634851948,-0.06471623579479353,-0.04554221351126096,-0.15808656379854116,-1.2447290133968179
Alphageo (India),38.76444046704347,0.32570340409844756,-26.711833936286578,162.73777844832043,-0.13934448613207384,-0.10891416091189753,-0.04709159527497834,-0.15999942672590844,1.002891625366258
India Nipp.Elec.,38.747857673066825,0.22213739022337198,-10.228367633797246,114.44377807830995,-0.10847209559295945,-0.08577279445907421,-0.04759139584391943,-0.16528968825940857,-0.23963298244958253
Ratnaveer Precis,38.66459078072751,0.3896438816641099,-35.39085313594452,197.60288859476972,-0.08564391949009319,-0.07263850539125558,-0.048774257190413346,-0.15716002081809763,0.7879447382242415
JITF Infra Logis,38.66423472368992,0.25201099614293815,-15.38480326237915,127.23778627058012,-0.08260016267637768,-0.15415448992327285,-0.04997377855587196,-0.11666112602774349,0.024663955311774528
Nectar Lifesci.,38.659943283416276,0.2885909985845131,-21.24150638997835,144.1207162564842,-0.14521458855852518,-0.14102020085545422,-0.05014037874551899,0.13213060846296337,0.3914993315822057
Infibeam Avenues,38.64520196323137,0.253576067673094,-15.65554461175847,127.9046315367521,-0.11455960922039048,-0.10995656480616885,-0.04705827523704893,-0.12108462154728032,1.7223056966170884
Bright Brothers,38.572227306177425,0.26336727906903773,-17.302297582012734,132.19825483831448,-0.11173326360765463,-0.1283028733453441,-0.04992379849897786,-0.13088804405003762,0.6568929371351038
IP Rings,38.570405346306785,0.23958683155666813,-13.357682715305272,121.62100275717967,-0.10868950679393914,-0.1299707195761782,-0.04959059811968379,-0.13088804405003762,0.5280344716290479
G G Engineering,38.5648639249484,0.45863947365822283,-43.603608316620274,240.45124061009483,-0.12890874848504927,-0.08890000614188817,-0.04899083743695448,-0.16433325679572494,3.5361942238257384
Sona Machinery,38.51747107979358,0.7879012209126592,-70.43148627506869,548.9027474574573,-0.09586224593613808,-0.045952965697909756,-0.04749143573013122,-0.1749137798627252,-0.5384749556444779
W I Plywoods,38.50422215830029,0.27394592570756277,-19.039061657294603,136.94660596043144,-0.08303498507833705,-0.06325687034281369,-0.04857433696283691,-0.08166171215357028,1.2474485428798785
Sonal Mercantile,38.46387369545211,0.3433350916368142,-29.35462296430922,171.38710448192666,-0.1489105789751797,-0.16624637509682016,-0.043742931463073044,-0.2118260566642657,2.264059585638294
Kronox Lab,38.4267417864613,0.5156052886165742,-49.611907873484746,280.2875249474311,-0.08260016267637768,0.16065148614666597,-0.04001108721497956,-0.14834291826226406,-0.6108550298861773
Omaxe,38.38281984403225,0.30717339778217456,-24.210175535015942,152.66986647836026,-0.06803361221073921,-0.18751141453995512,-0.048940857380060376,-0.13088804405003762,-0.9546603825342497
Dilip Buildcon,38.33072036815975,0.26060546009218244,-16.99833725247538,130.54222727778654,-0.1254301692693744,-0.14664918188451934,-0.04995711853690726,-0.10999599426519811,-0.9064069997064501
Emmforce,38.29900175498822,0.5577086845820541,-53.64593460766156,312.6199875790732,-0.08260016267637768,-0.08076925576657186,-0.042493430040720315,-0.07395048347762094,-0.5203799370840532
Krishna Institu.,38.211703658800786,0.23861831118742288,-13.41776082224132,120.62810120964423,0.0882850412936498,0.025972903006811352,-0.037378804218556494,-0.0326147111565436,-1.1389005715131209
Tracxn Technolo.,38.14879955211276,0.45935129780580575,-43.85133989173454,239.9028717851876,0.08632834048483269,0.08059486706662858,-0.034613241070415794,0.11339052947141207,1.3116036086850213
Whirlpool India,38.13642508569856,0.2249762312285426,-11.119891045094208,114.69001512068454,0.026757671416400713,0.036188461170670295,-0.0440761318423671,0.09874517268375636,-1.4141641871898871
Smartlink Hold.,38.133694954533546,0.25635981360364585,-16.42396757338507,128.30609599165146,-0.13499626211248028,-0.12100604608544485,-0.04915743762660152,-0.14577250870361427,-0.4370331849269447
Prism Johnson,38.12077149112259,0.24947493194867437,-15.296443381894843,125.22486987547782,-0.009984821549164987,-0.12079756530659058,-0.048724277133519234,-0.13088804405003762,-1.0078487704239834
Bharat Forge,38.079008825988566,0.22247303138117935,-10.71987421241065,113.55046837330653,0.0371934090634253,-0.03907309999571904,-0.0440594718234024,-0.028729208335328823,-1.3297207672412377
Zeal Aqua,37.90505861499997,0.23327157315941024,-12.69976244756687,117.8436820424956,-0.1223864124556589,-0.12204844997971617,-0.05032363895413072,-0.19003735238222275,-0.12119286096316526
SagarSoft (India,37.85298326027689,0.25084411214606567,-15.687231480053901,125.39225466499167,-0.11869042203900436,-0.08306254433396877,-0.04950729802486028,-0.19066501053026513,0.4594927346577416
Ramco Systems,37.82099063711396,0.29348228326480225,-22.46492624142771,144.98107165462528,-0.06281574338722692,-0.11787883440263089,-0.04637521445949611,-0.13088804405003762,-0.13819121173204915
Royal Cush. Vin.,37.795725267486276,0.3562171151257968,-31.44839692836241,176.98348472099372,-0.08260016267637768,-0.13497425826868054,-0.048024556337001714,-0.19550694481516356,1.1322984247680843
ICICI Lombard,37.78162372888739,0.18932518344288338,-4.931979991285193,99.6862439717213,-0.008028120740347882,-0.14644070110566507,-0.043759591482037744,-0.10228476558924877,-1.4744809157246366
K2 Infragen,37.728793104803934,0.4778154079452516,-46.01164989158575,251.3576616439234,-0.08260016267637768,-0.03886461921686478,-0.04655847466810784,-0.162510059318078,1.3680819999493778
VVIP Infratech,37.54479376394958,0.41130970147047813,-38.57710662064282,208.00519563159366,-0.08260016267637768,-0.07472331317979822,-0.04785795614735468,-0.1560242584549733,-0.3026913804631842
ICICI Securities,37.485879681532914,0.3215304427822475,-26.790766717261764,158.19649058204072,-0.028682184833417366,-0.14060323929774568,-0.04360965131135541,-0.19108344929562673,-1.530959306988993
Cartrade Tech,37.48434866435535,0.45814092263399775,-43.98867657180864,237.46651517518674,-0.11195067480863431,-0.10057492975772696,-0.036679083422038974,-0.054403415438586546,-0.4079714884511108
Elpro Internatio,37.36704567831404,0.22865929837976193,-12.250664999763098,115.04100559094921,-0.13608331811737867,-0.13559970060524335,-0.042160229661426254,-0.1829238933710757,-1.0561021532517831
Hyundai Motor I,37.366404969051494,0.547520928785336,-53.02991901829891,301.73507943221927,-0.08260016267637768,0.10081750261549217,-0.04730817552151948,-0.15653236267005524,-1.613757725250331
Bannari Amm.Sug.,37.35636530554364,0.18516874727516833,-4.450158631040748,97.45476098800827,-0.10368904917140655,-0.0782674864203207,-0.04754141578702532,-0.13979481205559152,0.39698267053991027
Proventus Agro.,37.342851448158164,0.34111252778089896,-29.620656037273875,168.01981635266418,-0.06694655620584082,0.04848882712307188,-0.04912411758867211,0.18978549263314287,-0.24676132309459833
Mphasis,37.30515678734982,0.13724807678285897,4.920155818291789,79.68621885244984,-0.016072335176596,0.004290902005967901,-0.04389287163375537,-0.12260893419252611,-1.6044360490222334
Mayank Cattle Fo,37.30204076384295,0.5380365589150785,-52.171030101883254,294.1512944575935,-0.07542559304404829,-0.024479445475920566,-0.05029031891620132,-0.12661399094670137,0.06524066359878795
WPIL,37.24431015977347,0.25920475471573057,-17.42381644570818,128.10451949317678,-0.09238366672046323,-0.09953252586345564,-0.04707493525601364,-0.16179273572031524,-0.7062651277502356
Havells India,37.18355436542785,0.14928393639429421,2.3832706431595936,83.81252591474673,0.13589809430819946,0.1493935240885357,-0.04212690962349685,-0.005206972025359284,-1.5474093238621065
Advanced Enzyme,37.18101553221653,0.17100550668131026,-1.8859534980732313,91.80363763796728,-0.08020863946560122,-0.03886461921686478,-0.03799522492025051,-0.13199391792992182,0.14255574290242126
Frog Cellsat,37.163751133964,0.23449967037147862,-13.377801027579169,117.19483975614682,-0.0815131066714793,-0.05512611996749739,-0.04587541389055502,-0.1323226912455631,-0.35752477004022926
India Motor Part,37.15182473880709,0.24377183207481487,-14.945202000187887,121.15887018185627,-0.1478235229702813,-0.1422710855285798,-0.04759139584391943,-0.17404701384876192,1.3774036761774755
Lumax Auto Tech.,37.144962856035676,0.2074834842910677,-8.679905157263416,105.96497265113621,-0.06585950020094243,-0.10682935312335488,-0.048940857380060376,-0.15695080143541681,-0.6415617280493225
Scoobee Garments,37.07876476197697,0.5104779086671004,-49.59859836523094,272.81875382820436,0.607897811635082,-0.10224277598856107,-0.045258993188861014,-0.0969048386060283,-0.5636983148499187
ICICI Pru Life,36.99945277564621,0.30225867208821283,-24.241554176890894,147.74597547381742,0.041106810681059515,-0.17625345248182483,-0.0490907975507427,0.13565744948529682,-1.597856042272988
Guj.St.Petronet,36.97682621508,0.17717531452905688,-3.2095682994087884,93.84819956166828,-0.11651631002920758,-0.10828871857533473,-0.048857557285236865,-0.19138233412802788,-1.1794772798001343
Diksat Transworl,36.92379763418731,0.5354597241035097,-52.06128184179292,291.08526633305917,0.058282295558454156,0.11770444570268758,-0.0285656541862286,0.49802542028843605,-0.2895313669646935
