Name,Return over 1year,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Valuation,B Model,Growth,Financial Health ,Ownership,Score
Bajaj Holdings,50.94,113031.13,14.77,11.15,12.18,11.85,11.88,12.44,15.26,14.96,13.98,12.79,12.01,54.98,31.59,10.57,14.93,25.81,18.98,16.65,13.84,0.8,4,1.89,65.23,7,432.73,948.17,1.29,20.06,51.46,30.82,0,4.02,1.22,0,4139.8,Y,Y,Y,N,0,0,0,1,1,2
Bajaj Housing,,109381.88,15.23,14.59,14.03,,,,63.16,58.47,58.47,58.47,58.47,34.16,,,,40.58,,,,,4,5.82,14.36,5,22.74,22.21,0,0,88.75,7.63,0,2.49,4.01,3.96,1.46,Y,N,N,Y,0,0,1,1,0,2
Bajaj Steel Inds,173.74,1510.96,19.64,24.83,21.26,25.34,24.47,19.66,23.28,9.67,7.51,6.68,6.12,2.56,7.92,12.78,2.93,-2.31,31.42,33.69,17.77,0.68,6,4.55,2.54,3,10.8,10.87,0.1,2.64,48.27,51.57,0,7.09,0.96,0.19,17.47,Y,Y,N,N,1,0,0,0,0,1
Bajel Projects,,2819.06,0.91,,,,,,161.64,179.02,179.02,179.02,179.02,,,,,,,,,,2,4.97,1.91,6,0.44,-0.6,0,0,62.72,28.59,2.55,5.48,1.33,0.03,1.82,N,N,N,Y,0,0,0,0,1,1
Bal Pharma,32.57,181.83,11.09,4.2,8.15,2.47,2.31,2.47,24.15,36.26,34.15,34.19,37.2,10.62,8.55,5.78,6.61,13.65,25.08,52.15,0.18,0.87,3,2.63,0.53,7,2.18,0.85,1.05,25.66,50.86,49.01,0,3.05,0.69,2.03,1.58,N,Y,N,Y,1,0,0,0,0,1
Balaji Amines,-3.45,6547.43,12.49,23.11,21.81,22.38,22.7,22.59,33.51,28.74,27.75,24.59,20.12,7.69,11.69,13.64,10.4,-4.86,11.8,14.23,19.84,2.84,2,3.8,4.19,5,14.2,17.21,0.54,17.4,53.7,39.23,0,7.64,4.78,0.01,49.62,Y,Y,Y,N,0,0,0,0,1,1
Balaji Telefilms,-11.78,579.53,4.56,-10.94,-11.81,-12.82,-11.51,-9.24,69.82,34.17,34.17,34.17,37.47,28.63,7.89,5.89,4.37,29.01,17.03,13.26,9.37,4.1,3,1.34,0.93,8,3.06,-8.03,0,0,34.21,47.27,0,3.64,1.02,0.18,3.04,Y,N,N,Y,0,0,0,0,0,0
Balaxi Pharma,4.06,485.61,-26.92,32.17,10.5,18.38,,,12.9,12.01,14.19,14.19,14.19,1.42,77.75,,,,,,,,3,2.43,2.02,4,-20.65,13.66,0,0,65.99,17.5,0,6.36,2.36,0.1,23.97,Y,Y,N,N,0,0,0,0,1,1
Balkrishna Inds,11.85,56207.94,17.55,13.79,17.58,18.11,18.07,18.4,34.5,34.02,32,31.14,28.53,17.45,12.45,14.09,9.54,7.38,13.87,12.2,11.74,2.49,2,5.98,5.57,7,15.37,10.24,0.55,21.02,58.29,6.52,0,8.65,0.93,0.33,17.55,Y,Y,N,Y,0,0,0,0,1,1
Balmer Law. Inv.,85.21,1628.39,14.22,9.78,10.68,9.82,,,9.45,8.45,8.74,8.74,8.74,14.94,5.49,,,28.2,5.21,,,1.81,5,1.33,0.68,9,11.11,7.34,5.18,50.21,59.67,39,0,3,2.08,0.09,16.87,Y,Y,Y,Y,1,0,1,0,1,3
Balmer Lawrie,60.47,3768.92,14.69,10.21,11.23,10.27,10.85,11.52,14.25,13.98,14.11,14.05,13.66,15.13,5.61,4.57,-2.89,30.82,5.66,7.52,5.12,2.52,4,2.07,1.58,9,11.05,7.22,3.86,55.57,0,94.85,0,4.49,1.81,0.06,13.62,Y,Y,Y,Y,0,0,1,0,0,1
Balrampur Chini,46.86,12251.22,13.77,10.01,13.63,16.05,17.47,18.15,23.07,20.2,16.22,13.76,14.5,5.15,5.47,7.1,7.7,-1.65,-2.85,-2.81,59.55,-4.41,3,3.6,2.18,8,7.75,6.08,0.49,11.32,42.9,17.79,0,5.88,0.08,0.59,9.57,Y,Y,N,Y,1,0,0,0,1,2
Balu Forge,230.84,7612.78,25.75,21.93,24.72,,,,55.96,31.66,31.66,31.66,31.66,57.94,,,,101.83,,,,,5,8.34,10.78,6,16.73,11.92,0.02,1.64,54.71,33.93,0,13.86,3.27,0.06,15.37,Y,Y,N,Y,0,0,1,0,1,2
Bambino Agro Ind,15.82,295.93,12.36,11.57,12.08,11.27,10.71,10.44,26.49,26.97,26.01,26.79,26.1,6.45,6.11,7.1,3.69,18.01,17.17,16.6,9.4,1.54,5,3.17,0.88,8,3.29,3.07,0,11.73,74.96,25.03,0,5.34,0.34,0.75,2.86,N,Y,Y,Y,1,0,0,0,1,2
Banco Products,43.6,4660.51,26.86,23.87,22.73,19.07,17.15,15.88,17.18,9.98,10.02,10.57,11.01,21.79,12.06,12.17,9.51,34.3,31.9,18.2,11.87,0.54,5,4.43,1.65,7,9.96,10.15,3.07,52.69,67.88,28.86,0,7.24,0.87,0.4,17.36,Y,Y,N,N,1,1,0,0,1,3
Bandhan Bank,-21.54,27098.15,10.82,11.88,8.06,11.38,12.67,,9.72,13.9,16.85,20.78,20.78,14.64,23.22,25.22,,0.37,-3.29,4.52,,3.6,6,1.25,1.3,5,11.82,13.8,0.89,10.84,39.98,16.89,0,0.92,5.42,7.01,1.39,N,Y,N,N,0,0,0,1,0,1
Bank of Baroda,21.68,123864.47,16.69,15.12,13.93,9.87,7.96,6.56,6.19,7.27,8.5,10.81,9.6,16.79,17.48,15.01,11.33,144.18,54.63,25.15,4.53,0.08,7,1.03,1,6,15.93,15.86,3.17,20.97,63.97,9.56,0,0.55,1.8,12.14,1.37,N,Y,N,Y,1,0,0,1,1,3
Bank of India,-0.25,43960.56,9.98,6.33,7.59,4.56,0.14,-1.16,6.38,8.22,8.68,8.68,7.74,14.34,8.29,6.39,4.82,32.54,21.76,17.16,-11.09,0.25,8,0.62,0.69,5,10.71,7.73,2.9,19.42,73.38,7.13,0,0.53,3.44,11.64,1.24,N,N,N,Y,0,0,0,1,1,2
Bank of Maha,15.61,37704,22.83,17.44,17.04,13.33,3.53,2.01,7.7,9.63,11.55,11.55,10.92,19.97,13.57,7.87,5.54,87.62,18.46,13.95,1.92,0.33,7,1.75,1.67,7,19.86,16.37,2.86,24.35,79.6,7.43,0,0.65,3.93,14.01,1.43,N,Y,N,Y,1,1,0,1,1,4
Banka Bioloo,71.79,128.38,-1.63,6.55,4.45,,,,65.5,27.49,28.13,28.13,28.13,17.96,,,,,,,,,2,3.23,2.35,3,-1.34,6,0,0,52.72,47.38,0,4.88,1.62,0.65,1.75,Y,Y,N,N,0,0,0,0,0,0
Bannari Amm Spg.,18.48,338.41,-3.75,-5.03,1.26,-0.09,1.12,2.21,,8.34,14.57,18.13,16.9,-3.21,-4.69,0.88,2.83,-2.73,,,,,1,0.85,0.32,5,-1.67,-1.57,0,0,55.33,44.65,0,2,0.46,1.27,0.42,N,Y,Y,N,0,0,0,0,0,0
Bannari Amm.Sug.,35.43,4404.07,9.36,9.64,8.38,7.97,7.78,7.37,30.34,29.72,24.89,23.95,23.28,12.42,14.57,3.44,13.05,19.27,15.06,0.64,15.88,2.01,3,2.61,2.01,8,6.83,5.68,0.36,10.29,58.7,41.04,0,5.6,0.32,0.29,8.65,Y,Y,Y,Y,0,0,0,0,0,0
Bansal Roofing,-1.4,134.86,13.75,18.98,17.7,17.16,17.09,16.82,45.26,27.52,24.24,23.33,23.25,36.51,19.06,21.39,18.63,15.95,10.48,22.68,14.32,4.33,4,4.65,1.49,6,3.36,4.47,0,0,73.38,26.52,0,8.32,0.42,0.16,9.33,Y,Y,N,N,0,0,0,0,1,1
Bansal Wire Inds,,6104.9,23.43,23.71,25.24,25.26,,,92.23,77.99,77.99,77.99,77.99,15.65,10.73,,,-66.34,-34.76,,,2.93,3,,2.67,5,2.9,2.48,0,0,77.99,4.18,0,17.92,1.07,1.49,4.7,Y,N,N,Y,0,0,0,0,1,1
Banswara Syntex,-8.91,459.15,6.74,24.46,14.05,12.63,11.29,10.53,16.95,7.36,6.57,8.41,9.19,17.12,-1.32,0.27,0.39,42.72,5.63,8.5,2.05,3,4,0.86,0.37,6,2.78,7.41,0.75,9.63,54.22,36.89,0,3.21,0.84,0.66,2.16,Y,Y,N,N,0,0,0,0,1,1
Barak Valley,48.3,118.8,6.21,4.72,5.56,4.05,2.68,0.92,16.59,13.03,13.61,13.78,14.49,16.79,9.53,8.73,6.56,45.58,84.4,24.57,11.61,0.2,5,0.99,0.51,8,3.1,2.86,0,0,55.32,44.84,0,3.03,0.71,0.4,2.83,Y,N,Y,Y,0,0,1,0,0,1
Barbeque-Nation,-18.14,2123.22,-2.82,3.68,-2.15,-12.42,-12.61,,,119.82,119.82,119.82,119.82,35.25,11.16,13.93,,23.74,12.19,,,,4,5.4,1.72,3,-0.89,1.32,0,0,33.55,25.61,0.66,4.18,0.38,1.74,0.81,N,Y,N,N,0,0,0,0,0,0
Baroda Extrusion,282.01,158.29,,,,,,,,71.4,60,60,56,34.54,20.01,37.03,10.24,,5.92,5.67,6.18,,3,,1.24,4,-0.86,-2.63,0,0,55.38,44.62,0,10.27,1.37,,-43.5,N,N,N,Y,0,0,0,0,0,0
Baroda Rayon,-8.85,421.45,2.2,143.16,,,,,37.53,1.74,1.74,1.74,1.74,,,,,27.17,26.07,23.92,8.76,1.44,2,1.27,12.74,5,9.03,395.29,0,0,67.53,31.45,0,2.89,0.38,0.64,6.71,Y,Y,Y,N,N,0,0,0,1,1
Bartronics India,39.66,623.16,8.17,,,,,,346.2,298.5,298.5,298.5,298.5,-8.04,-6.47,-5.42,-0.32,26.09,14.91,10.45,7.2,22.72,3,23.51,12.38,6,4.34,-52.9,0,0,85.57,14.22,0,36.93,4.31,0,,Y,Y,Y,Y,0,0,0,0,1,1
Basant Agro Tech,-17.8,166.57,1.3,10.98,8.15,7.67,7.25,7.21,39.66,11.61,9.75,9.33,9.79,7.47,7.66,4.46,2.69,-37.47,-20.26,-12.09,-18.17,-1.96,1,0.96,0.4,3,0.55,3.15,0.27,11.44,53.07,46.9,0,3.03,0.56,0.9,1.35,Y,Y,N,N,0,0,0,0,0,0
BASF India,183.41,30763.82,18.98,15.19,20.23,17.93,15.01,9.87,46.53,26.9,34.95,40.33,41.94,12.93,17.97,15.33,12.01,24.97,79.55,54.55,15.38,0.58,5,9.54,2.14,9,4.08,2.8,0.21,11.53,73.33,15.94,0,10.21,1.04,0.05,72.08,Y,Y,Y,Y,1,0,1,1,1,4
