Name,Return over 1year,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Valuation,B Model,Growth,Financial Health ,Ownership,Score
Texmaco Rail,60.19,7896.67,5.71,1.89,3.47,3.67,3.74,,38.01,69.12,51.79,69.23,82.08,27.53,13.52,14.92,,95.55,5.19,27.55,,4.29,5,2.95,1.76,7,3.2,1.15,0.25,17.64,48.14,35.28,0,5.19,1.54,0.35,3.3,N,Y,N,Y,0,0,0,0,1,1
GMM Pfaudler,-20.78,6171.28,19.65,24.54,20.44,21.09,20.9,19.93,40.92,44.2,63.06,44.29,40.86,51,46.97,38.47,28.59,27.5,28.5,29.7,24.73,1.41,3,6.38,1.86,8,5.04,6.6,0.15,5.02,25.18,44.4,0,5.32,1.06,0.94,3.21,N,Y,N,N,1,0,0,0,0,1
Skipper,129.82,5529.77,9.02,4.33,5.9,5.37,7.09,11,59.94,47.61,34.78,21.92,19.67,27.55,11.9,10.18,12.19,53.99,18.74,-7.03,10.72,3.2,5,6.39,1.45,9,2.28,1.64,0.02,1.41,66.48,28.89,0,5.09,0.64,0.65,1.81,Y,Y,N,Y,0,0,1,0,1,2
The Anup Enginee,156.76,5486.78,20.68,12.37,16.93,16.32,,,50.45,17.61,16.5,16.45,16.45,25.4,17.76,,,22.7,19.5,,,2.67,4,10.33,9.64,6,18.15,12.51,0.55,19.23,41.03,43.96,0,13.15,0.78,0.04,39.23,Y,Y,N,Y,0,0,1,0,0,1
PG Electroplast,183.6,14808.51,18.86,21.97,18.84,,,,80.13,47.66,47.66,47.66,47.66,57.48,,,,104.61,,,,,4,14.19,4.37,7,4.93,3.6,0.04,3.86,53.42,25.91,0,13.1,0.9,0.42,5.2,Y,Y,N,Y,0,0,1,0,1,2
Data Pattern,12.1,12080.78,14.26,14.23,15.77,16.67,15.74,14.41,64.04,68.26,68.26,68.26,68.26,32.4,31.73,39.94,23.5,-54.05,-6.88,32.55,-2.38,0.73,4,9.12,22.62,5,34.17,27.32,0.3,20.03,42.41,34.47,0,13.91,2.49,0,24.75,N,Y,Y,Y,0,0,0,0,1,1
Genus Power,53.15,11850.39,5.92,3.62,4.28,5.72,6.33,7.45,120.57,82.91,57.3,31.21,19.78,25.42,2.61,9.35,4.6,7.12,-2.58,1.4,0.52,172.24,3,7.57,8.76,5,6.28,4.34,0.15,30.31,39.33,34.62,66.79,9.09,1.59,0.38,3.14,Y,Y,N,Y,0,0,0,0,0,0
Syrma SGS Tech.,-36.79,6740.24,6.81,11.24,8.74,,,,63.59,73.14,73.14,73.14,73.14,52.7,,,,-80.64,,,,,5,4.1,1.76,1,3.94,5.98,0.4,24.8,46.89,36.35,0,4.8,0.82,0.4,4.44,N,Y,N,N,0,0,0,0,1,1
Esab India,6.43,9349.73,56.94,53.16,48.15,36.63,29.17,23.34,56.64,56.65,50.55,46.41,34.36,22.21,13.11,15.04,11.09,40.35,23.08,26.68,17.14,2.45,3,30.55,7.33,7,12.97,12.29,1.42,81.21,73.72,11.59,0,31.96,1.27,0.01,507.64,N,Y,N,Y,0,0,0,0,1,1
Graphite India,7.4,9655.46,0.95,4.66,5.24,3.26,17.07,15.12,32.21,28.01,26,20.72,21.95,14.64,-17.8,10.48,3.91,53.82,-57.04,-4.59,-7.95,-0.56,3,1.72,3.29,5,1.7,7.25,2.23,26.6,65.34,20.08,0,4.27,0.68,0.03,28.43,Y,Y,Y,N,1,0,0,0,1,2
